rater_id,age,gender,region,prompt_id,prompt_name,model_name,text_legibility,cultural_fidelity,visual_realism,consent_status
R01,24,F,Delhi (North),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,8,9,9,Yes
R01,24,F,Delhi (North),1,Festive Kirana Sale,OpenAI DALL-E 3,10,8,9,Yes
R01,24,F,Delhi (North),1,Festive Kirana Sale,Gemini 2.5 Flash,6,7,9,Yes
R01,24,F,Delhi (North),2,Local Chai Stall,Gemini 3.1 Flash Preview,8,9,8,Yes
R01,24,F,Delhi (North),2,Local Chai Stall,OpenAI DALL-E 3,10,8,8,Yes
R01,24,F,Delhi (North),2,Local Chai Stall,Gemini 2.5 Flash,7,8,7,Yes
R01,24,F,Delhi (North),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,10,10,8,Yes
R01,24,F,Delhi (North),3,Regional Samosa Banner,OpenAI DALL-E 3,10,7,8,Yes
R01,24,F,Delhi (North),3,Regional Samosa Banner,Gemini 2.5 Flash,5,6,7,Yes
R02,28,M,Mumbai (West),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,9,8,Yes
R02,28,M,Mumbai (West),1,Festive Kirana Sale,OpenAI DALL-E 3,9,7,8,Yes
R02,28,M,Mumbai (West),1,Festive Kirana Sale,Gemini 2.5 Flash,5,7,8,Yes
R02,28,M,Mumbai (West),2,Local Chai Stall,Gemini 3.1 Flash Preview,10,9,8,Yes
R02,28,M,Mumbai (West),2,Local Chai Stall,OpenAI DALL-E 3,9,8,8,Yes
R02,28,M,Mumbai (West),2,Local Chai Stall,Gemini 2.5 Flash,7,7,8,Yes
R02,28,M,Mumbai (West),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,9,10,8,Yes
R02,28,M,Mumbai (West),3,Regional Samosa Banner,OpenAI DALL-E 3,10,7,9,Yes
R02,28,M,Mumbai (West),3,Regional Samosa Banner,Gemini 2.5 Flash,5,8,8,Yes
R03,31,F,Bangalore (South),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,10,9,Yes
R03,31,F,Bangalore (South),1,Festive Kirana Sale,OpenAI DALL-E 3,10,8,8,Yes
R03,31,F,Bangalore (South),1,Festive Kirana Sale,Gemini 2.5 Flash,7,6,7,Yes
R03,31,F,Bangalore (South),2,Local Chai Stall,Gemini 3.1 Flash Preview,10,8,9,Yes
R03,31,F,Bangalore (South),2,Local Chai Stall,OpenAI DALL-E 3,10,8,8,Yes
R03,31,F,Bangalore (South),2,Local Chai Stall,Gemini 2.5 Flash,7,7,8,Yes
R03,31,F,Bangalore (South),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,10,10,8,Yes
R03,31,F,Bangalore (South),3,Regional Samosa Banner,OpenAI DALL-E 3,10,8,9,Yes
R03,31,F,Bangalore (South),3,Regional Samosa Banner,Gemini 2.5 Flash,7,8,9,Yes
R04,22,M,Lucknow (North),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,10,9,Yes
R04,22,M,Lucknow (North),1,Festive Kirana Sale,OpenAI DALL-E 3,10,8,9,Yes
R04,22,M,Lucknow (North),1,Festive Kirana Sale,Gemini 2.5 Flash,7,7,7,Yes
R04,22,M,Lucknow (North),2,Local Chai Stall,Gemini 3.1 Flash Preview,9,8,8,Yes
R04,22,M,Lucknow (North),2,Local Chai Stall,OpenAI DALL-E 3,9,7,9,Yes
R04,22,M,Lucknow (North),2,Local Chai Stall,Gemini 2.5 Flash,7,8,8,Yes
R04,22,M,Lucknow (North),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,10,8,8,Yes
R04,22,M,Lucknow (North),3,Regional Samosa Banner,OpenAI DALL-E 3,10,7,8,Yes
R04,22,M,Lucknow (North),3,Regional Samosa Banner,Gemini 2.5 Flash,5,7,8,Yes
R05,35,M,Kolkata (East),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,8,9,Yes
R05,35,M,Kolkata (East),1,Festive Kirana Sale,OpenAI DALL-E 3,9,7,8,Yes
R05,35,M,Kolkata (East),1,Festive Kirana Sale,Gemini 2.5 Flash,7,7,8,Yes
R05,35,M,Kolkata (East),2,Local Chai Stall,Gemini 3.1 Flash Preview,9,9,9,Yes
R05,35,M,Kolkata (East),2,Local Chai Stall,OpenAI DALL-E 3,10,7,8,Yes
R05,35,M,Kolkata (East),2,Local Chai Stall,Gemini 2.5 Flash,7,7,8,Yes
R05,35,M,Kolkata (East),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,9,10,9,Yes
R05,35,M,Kolkata (East),3,Regional Samosa Banner,OpenAI DALL-E 3,9,8,8,Yes
R05,35,M,Kolkata (East),3,Regional Samosa Banner,Gemini 2.5 Flash,6,8,8,Yes
R06,27,F,Chennai (South),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,9,8,Yes
R06,27,F,Chennai (South),1,Festive Kirana Sale,OpenAI DALL-E 3,10,8,9,Yes
R06,27,F,Chennai (South),1,Festive Kirana Sale,Gemini 2.5 Flash,7,6,8,Yes
R06,27,F,Chennai (South),2,Local Chai Stall,Gemini 3.1 Flash Preview,10,10,8,Yes
R06,27,F,Chennai (South),2,Local Chai Stall,OpenAI DALL-E 3,9,7,9,Yes
R06,27,F,Chennai (South),2,Local Chai Stall,Gemini 2.5 Flash,7,7,8,Yes
R06,27,F,Chennai (South),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,8,9,9,Yes
R06,27,F,Chennai (South),3,Regional Samosa Banner,OpenAI DALL-E 3,9,7,8,Yes
R06,27,F,Chennai (South),3,Regional Samosa Banner,Gemini 2.5 Flash,7,7,8,Yes
R07,29,F,Pune (West),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,9,9,Yes
R07,29,F,Pune (West),1,Festive Kirana Sale,OpenAI DALL-E 3,10,7,9,Yes
R07,29,F,Pune (West),1,Festive Kirana Sale,Gemini 2.5 Flash,7,8,7,Yes
R07,29,F,Pune (West),2,Local Chai Stall,Gemini 3.1 Flash Preview,10,8,9,Yes
R07,29,F,Pune (West),2,Local Chai Stall,OpenAI DALL-E 3,9,7,9,Yes
R07,29,F,Pune (West),2,Local Chai Stall,Gemini 2.5 Flash,5,8,9,Yes
R07,29,F,Pune (West),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,10,9,8,Yes
R07,29,F,Pune (West),3,Regional Samosa Banner,OpenAI DALL-E 3,9,7,8,Yes
R07,29,F,Pune (West),3,Regional Samosa Banner,Gemini 2.5 Flash,6,6,7,Yes
R08,33,M,Hyderabad (South),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,8,9,Yes
R08,33,M,Hyderabad (South),1,Festive Kirana Sale,OpenAI DALL-E 3,9,8,8,Yes
R08,33,M,Hyderabad (South),1,Festive Kirana Sale,Gemini 2.5 Flash,7,6,8,Yes
R08,33,M,Hyderabad (South),2,Local Chai Stall,Gemini 3.1 Flash Preview,10,9,8,Yes
R08,33,M,Hyderabad (South),2,Local Chai Stall,OpenAI DALL-E 3,9,7,9,Yes
R08,33,M,Hyderabad (South),2,Local Chai Stall,Gemini 2.5 Flash,7,8,9,Yes
R08,33,M,Hyderabad (South),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,10,9,8,Yes
R08,33,M,Hyderabad (South),3,Regional Samosa Banner,OpenAI DALL-E 3,9,8,9,Yes
R08,33,M,Hyderabad (South),3,Regional Samosa Banner,Gemini 2.5 Flash,6,8,8,Yes
